orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,23.0,0.157974300831,0.114890400605,0.0854119425548,39.2765957447,677.0,98.1406844106,121.57338403,1323
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,27.0,0.152366863905,0.113905325444,0.0739644970414,45.7899159664,628.0,91.2351190476,105.369047619,676
ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,32.0,0.15246015246,0.132363132363,0.110187110187,53.2875816993,250.0,47.6222062004,65.6272530642,1443
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,26.0,0.18573551263,0.158989598811,0.118870728083,47.1508379888,737.0,104.654205607,132.61682243,673
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,41.5,0.0471464019851,0.0421836228288,0.0355665839537,84.7916666667,425.0,70.6132780083,93.4705394191,1209
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,34.0,0.144560357675,0.125186289121,0.101341281669,58.936,238.0,45.2867981791,69.8649468892,671
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,44.0,0.156996587031,0.136518771331,0.117747440273,62.4112149533,674.0,104.854452055,132.801369863,586
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,30.5,0.132596685083,0.0994475138122,0.0732044198895,48.5283018868,512.0,80.3941504178,96.278551532,724
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,31.5,0.0792349726776,0.068306010929,0.0573770491803,76.1666666667,749.0,113.05785124,132.757575758,366
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,10.5,0.121045392022,0.0942228335626,0.0749656121045,37.90625,522.0,87.4039270687,109.877279102,1454
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,0.0,0.0,0.0,0.0,0.0,523.0,90.0,112.0,1
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,35.0,0.047619047619,0.04329004329,0.034632034632,57.7272727273,437.0,66.2424242424,80.1038961039,231
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,22.0,0.118558236521,0.0860887697349,0.0598748882931,34.7902621723,223.0,40.4115687462,58.6853422168,3357
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,27.0,0.118610421836,0.0875930521092,0.0570719602978,38.3190298507,325.0,51.9244613435,68.7310519645,4030
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,29.0,0.122309197652,0.0924657534247,0.0670254403131,41.8014184397,369.0,59.9915548932,77.0084451068,2044
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,20.0,0.153450807636,0.127019089574,0.104625550661,40.6305278174,326.0,56.2788935203,79.3406593407,2724
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,26.0,0.135425623388,0.0993121238177,0.067067927773,40.3361823362,296.0,48.6853146853,63.2451923077,2326
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,24.5,0.0484848484848,0.0393939393939,0.030303030303,54.0428571429,574.0,86.0060728745,110.866396761,990
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,29.0,0.135041250543,0.104211897525,0.0681719496309,39.7327327327,358.0,57.5563349408,71.9666812801,2303
DEN,Denver International Airport,Denver,CO,39.861698150635,-104.672996521,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.8379974,92.5,0.222222222222,0.222222222222,0.222222222222,92.5,780.0,112.0,141.25,9
DEN,Denver International Airport,Denver,CO,39.861698150635,-104.672996521,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,32.0,0.110667996012,0.0957128614158,0.0757726819541,47.4520547945,776.0,108.755081301,132.591463415,1003
DRO,Durango La Plata County Airport,Durango,CO,37.1515007019,-107.753997803,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,78.5,0.333333333333,0.333333333333,0.333333333333,94.75,640.0,88.75,112.583333333,12
EGE,Eagle County Regional Airport,Vail,CO,39.64260101,-106.9179993,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,41.0,0.155737704918,0.122950819672,0.106557377049,57.7391304348,748.0,107.870689655,134.25862069,122
ELP,El Paso International Airport,El Paso,TX,31.80719948,-106.3779984,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,26.0,0.170859538784,0.137316561845,0.0953878406709,39.4476190476,714.447589099,101.34530095,125.347412883,954
EUG,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,15.5,0.107279693487,0.0766283524904,0.0498084291188,21.58,748.0,104.689655172,137.398467433,261
EUG,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,10.0,0.123560209424,0.104712041885,0.0874345549738,40.044397463,451.0,71.8156484459,92.6693461951,1910
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,26.0,0.123951537745,0.098788443616,0.076421248835,46.6875,209.0,42.2147525677,72.2119514472,1073
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,52.5,0.0956284153005,0.0765027322404,0.068306010929,76.7777777778,626.0,90.6446280992,108.950413223,366
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,26.0,0.087962962963,0.0671296296296,0.0532407407407,69.8125,493.0,79.0371229698,102.930394432,432
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,31.0,0.0897790055249,0.0732044198895,0.0593922651934,53.8705882353,314.0,51.6397774687,70.347705146,724
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,32.5,0.0768442622951,0.0645491803279,0.0563524590164,64.0555555556,748.0,106.995854922,129.458031088,976
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,3.0,0.134328358209,0.115475255302,0.0926944226237,35.2,158.0,32.0669322709,57.5266932271,1273
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,40.0,0.0380116959064,0.0360623781676,0.0302144249513,91.6470588235,501.0,73.6468292683,96.4917073171,1026
GEG,Spokane International Airport,Spokane,WA,47.61989974975586,-117.53399658203125,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,25.0,0.123229461756,0.0892351274788,0.0623229461756,39.5288461538,723.0,103.447443182,120.009943182,706
HDN,Yampa Valley Airport,Hayden,CO,40.48120117,-107.2180023,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,30.0,0.0729166666667,0.0625,0.0416666666667,29.7777777778,763.0,107.555555556,134.911111111,96
JAC,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,34.0,0.187096774194,0.141935483871,0.125806451613,58.5866666667,784.0,112.058823529,145.18627451,310
JAC,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,6.0,0.10447761194,0.0796019900498,0.0696517412935,24.2244897959,737.0,116.712121212,145.833333333,201
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,28.5,0.145777777778,0.106074074074,0.0740740740741,40.9530075188,223.0,44.7139423077,59.9182692308,3375
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,17.0,0.172450519215,0.126919321914,0.0931037543268,34.9832246039,236.0,42.3691467455,74.3062046737,11267
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,43.0,0.24213836478,0.195754716981,0.165094339623,65.2354740061,231.0,43.0285714286,62.8817460317,1272
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,26.0,0.176127320955,0.135543766578,0.0968169761273,40.603117506,407.0,65.6591880342,85.1696047009,3770
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,30.0,0.196524064171,0.149064171123,0.102941176471,45.8,197.0,34.1862811029,50.9455279085,1496
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,25.0,0.179880079947,0.135909393738,0.0950477459471,36.7596899225,258.0,44.5988293561,64.0204862674,4503
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,18.0,0.16428728311,0.131122336921,0.100702833297,36.2736760727,414.0,68.1528916464,93.2554841569,9106
LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,30.0,0.17771280052,0.131254061079,0.09681611436,43.9370860927,386.0,61.9715314136,79.2496727749,3078
