DEPARTURES_PERFORMED_sum,SEATS_sum,PASSENGERS_sum,occupancy_total,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,occupancy_med,occupancy_mean,DISTANCE_mean,RAMP_TO_RAMP_mean,AIR_TIME_mean
1.0,10.0,3.0,0.3,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.3,0.3,672.0,110.0,97.0
2180.0,220185.0,175258.0,0.795957944456,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.852797202797,0.820046451351,677.0,4250.41269841,3392.26984127
4.0,406.0,369.0,0.908866995074,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,0.983006993007,0.881126047406,630.0,142.5,119.75
677.0,97711.0,76326.0,0.781140301501,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.810411810412,0.796627823265,628.0,2162.96969697,1872.3030303
1.0,76.0,41.0,0.539473684211,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,0.539473684211,0.539473684211,754.0,148.0,115.0
1.0,30.0,19.0,0.633333333333,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,CEC,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.2369995,0.633333333333,0.633333333333,56.0,34.0,26.0
307.0,9218.0,4477.0,0.485680190931,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,0.448069637847,0.472098515798,327.0,4266.16666667,3817.83333333
159.0,4774.0,848.0,0.17762882279,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,0.170040786059,0.173135437824,101.0,975.0,760.666666667
1.0,50.0,8.0,0.16,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDM,Roberts Field,Redmond-Bend,OR,44.2541008,-121.1500015,0.16,0.16,272.0,55.0,42.0
1.0,76.0,27.0,0.355263157895,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.355263157895,0.355263157895,685.0,121.0,93.0
1392.0,88208.0,61743.0,0.699970524215,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.702302631579,0.686057848118,250.0,2686.5,1949.55882353
10.0,109.0,53.0,0.48623853211,APC,Napa County Airport,Napa,CA,38.2132,-122.280998,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.346428571429,0.469333791209,353.0,76.125,63.375
1.0,14.0,3.0,0.214285714286,APC,Napa County Airport,Napa,CA,38.2132,-122.280998,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,0.214285714286,0.214285714286,420.0,75.0,63.0
1.0,8.0,2.0,0.25,APC,Napa County Airport,Napa,CA,38.2132,-122.280998,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.25,0.25,442.0,77.0,69.0
7.0,65.0,21.0,0.323076923077,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.307692307692,0.385073260073,725.0,181.8,153.0
1.0,16.0,4.0,0.25,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,CLD,Mc Clellan-Palomar Airport,Carlsbad,CA,33.12829971,-117.2799988,0.25,0.25,717.0,115.0,104.0
731.0,50643.0,33394.0,0.659400114527,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.67853422619,0.659153315755,737.0,5363.94444444,4243.0
1.0,12.0,2.0,0.166666666667,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,VNY,Van Nuys Airport,Van Nuys,CA,34.209800720215,-118.48999786377,0.166666666667,0.166666666667,731.0,116.0,105.0
