PASSENGERS_sum,class_bf_frac,class_c_frac,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,DISTANCE_mean
165.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,672.0
13.0,0.230769230769,0.769230769231,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,744.0
16318.0,0.0764186787597,0.92358132124,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,677.0
64.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,664.0
60.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,630.0
2.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,571.0
7465.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,628.0
10.0,0.1,0.9,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,754.0
1.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,794.0
148.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,650.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BLI,Bellingham International Airport,Bellingham,WA,48.79280090332031,-122.53800201416016,545.0
5.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,564.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,CEC,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.2369995,56.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,FCA,Glacier Park International Airport,Kalispell,MT,48.31050109863281,-114.25599670410156,700.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13850021,-111.6709976,788.0
2.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,591.0
4.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,577.0
3.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,MFR,Rogue Valley International Medford Airport,Medford,OR,42.37419891357422,-122.87300109863281,116.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,MRY,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,327.0
32.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,327.0
3.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,646.0
10.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,101.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,251.0
4.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,685.0
3.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,509.0
3.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,456.0
5923.0,0.0297146716191,0.970285328381,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,250.0
2.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,207.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,609.0
