orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,21.0,0.12734082397,0.0861423220974,0.0561797752809,32.2666666667,677.0,99.5580524345,121.112359551,267
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,40.0,0.0931677018634,0.0807453416149,0.055900621118,47.4705882353,628.0,92.9496855346,107.13836478,161
ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,30.0,0.181547619048,0.160714285714,0.130952380952,54.8181818182,250.0,47.3447204969,65.9192546584,336
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,26.0,0.234726688103,0.186495176849,0.138263665595,37.33,737.0,105.4,133.491525424,311
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,68.0,0.0394265232975,0.0358422939068,0.0322580645161,193.615384615,425.0,69.6223021583,91.7985611511,279
BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,42.5,0.160256410256,0.153846153846,0.128205128205,95.21875,238.0,46.0463576159,70.9933774834,156
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,74.0,0.291262135922,0.271844660194,0.242718446602,72.9677419355,674.0,106.398058252,131.27184466,103
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,26.0,0.104972375691,0.0718232044199,0.0552486187845,45.4090909091,512.0,81.4555555556,97.1,181
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,32.0,0.0989010989011,0.0879120879121,0.0769230769231,108.642857143,749.0,111.460674157,134.112359551,91
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,8.5,0.148044692737,0.100558659218,0.0837988826816,40.3818181818,522.0,88.4750733138,112.17888563,358
BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,32.5,0.027027027027,0.027027027027,0.0135135135135,32.5,437.0,66.9054054054,81.3783783784,74
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,22.0,0.0802005012531,0.0576441102757,0.0413533834586,33.734939759,223.0,38.6607142857,56.5612244898,798
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,26.0,0.109589041096,0.0821917808219,0.059009483667,32.935483871,325.0,54.0207877462,70.3840262582,949
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,27.5,0.0891089108911,0.0613861386139,0.049504950495,38.8269230769,369.0,59.878296146,76.9046653144,505
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,25.5,0.162346521146,0.135061391542,0.111869031378,42.4719101124,326.0,57.4735294118,79.7235294118,733
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,24.0,0.104347826087,0.0730434782609,0.0382608695652,31.9076923077,296.0,50.0249554367,64.0944741533,575
BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,24.5,0.0646551724138,0.051724137931,0.0301724137931,41.2,574.0,87.8571428571,112.666666667,232
