DEPARTURES_PERFORMED_sum,SEATS_sum,PASSENGERS_sum,occupancy_total,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,occupancy_med,occupancy_mean,DISTANCE_mean,RAMP_TO_RAMP_mean,AIR_TIME_mean
1.0,10.0,3.0,0.3,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.3,0.3,672.0,110.0,97.0
520.0,48806.0,40770.0,0.835348112937,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.888825460254,0.837983431997,677.0,4196.93333333,3295.2
175.0,25217.0,19816.0,0.785819090296,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.800745920746,0.797444769036,628.0,2216.0,1925.25
1.0,76.0,41.0,0.539473684211,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,0.539473684211,0.539473684211,754.0,148.0,115.0
1.0,30.0,19.0,0.633333333333,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,CEC,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.2369995,0.633333333333,0.633333333333,56.0,34.0,26.0
168.0,5048.0,2787.0,0.552099841521,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,0.581045751634,0.553889261983,327.0,4698.0,4209.66666667
89.0,2674.0,501.0,0.187359760658,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,0.183908045977,0.187354796053,101.0,1076.33333333,841.666666667
350.0,23772.0,17083.0,0.718618542823,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.731367346939,0.706939308245,250.0,2279.4,1673.5
2.0,20.0,13.0,0.65,APC,Napa County Airport,Napa,CA,38.2132,-122.280998,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.565934065934,0.565934065934,353.0,62.0,51.0
1.0,16.0,4.0,0.25,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,CLD,Mc Clellan-Palomar Airport,Carlsbad,CA,33.12829971,-117.2799988,0.25,0.25,717.0,115.0,104.0
178.0,12460.0,7963.0,0.639085072231,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.629330357143,0.63844337406,737.0,5815.5,4584.75
