City,Users,State
Anaheim,282700,CA
Antioch-Pittsburg,39995,CA
Auburn,15732,CA
Bakersfield,491824,CA
Barstow,3153,CA
Berkeley,150636,CA
Burbank Airport,68918,CA
Camarillo,52310,CA
Carlsbad Poinsettia,10556,CA
Carlsbad Village,14843,CA
Carpinteria,30762,CA
Chatsworth,71133,CA
Chico,13144,CA
Colfax,6277,CA
Corcoran,30104,CA
Davis,379073,CA
Dunsmuir,5958,CA
Emeryville,581573,CA
Encinitas,12975,CA
Fremont,40617,CA
Fresno,369582,CA
Fullerton,388068,CA
Glendale,52395,CA
Goleta,76286,CA
Grover Beach,18987,CA
Guadalupe/Santa Maria,12227,CA
Hanford,201098,CA
Hayward,47351,CA
Irvine,450732,CA
Lodi,8617,CA
Lompoc-Surf Station,7921,CA
Los Angeles,1635039,CA
Madera,27136,CA
Martinez,364372,CA
Merced,121137,CA
Modesto,117422,CA
Moorpark,21726,CA
Needles,8017,CA
Oakland,414632,CA
Oceanside,416021,CA
Ontario,4864,CA
Oxnard,92805,CA
Palm Springs,3042,CA
Paso Robles,12037,CA
Pomona,1716,CA
Redding,11208,CA
Richmond,269838,CA
Riverside,12287,CA
Rocklin,16403,CA
Roseville,39409,CA
Sacramento,1051001,CA
Salinas,21498,CA
San Bernadino,11579,CA
San Clemente Pier,15396,CA
San Diego,1044833,CA
San Jose,223055,CA
San Juan Capistrano,229408,CA
San Luis Obispo,107778,CA
Santa Ana,191716,CA
Santa Barbara,338069,CA
Santa Clara-Great America,194446,CA
Simi Valley,51049,CA
Solana Beach,396157,CA
Sorrento Valley,20720,CA
Stockton,321129,CA
Suisun-Fairfield,167994,CA
Truckee,14675,CA
Turlock-Denair,29197,CA
Van Nuys,80405,CA
Ventura,65328,CA
Victorville,6664,CA
Wasco,41424,CA
