WP,D,code,lat,lon,date,time,city_caps
WP,D,ABE,39.50946045,-76.16300964,00/00/00,0:00:00,ABERDEEN
WP,D,ABI,32.45410538,-99.73468018,00/00/00,0:00:00,ABILENE
WP,D,ABN,39.42869568,-74.50753784,00/00/00,0:00:00,ABSECON
WP,D,ADE,34.55826569,-117.404213,00/00/00,0:00:00,ADELANTO
WP,D,AKO,41.08057404,-81.51566315,00/00/00,0:00:00,AKRON
WP,D,ALY,44.63075638,-123.0996475,00/00/00,0:00:00,ALBANY
WP,D,ALB,42.64164734,-73.74125671,00/00/00,0:00:00,ALBANY-RENSSELAER
WP,D,ALI,42.24737549,-84.75632477,00/00/00,0:00:00,ALBION
WP,D,ABQ,35.08293533,-106.6469803,00/00/00,0:00:00,ALBUQUERQUE
WP,D,AST,40.8171196,-91.10359192,00/00/00,0:00:00,ALDERSHOT
WP,D,ALD,37.72423935,-80.64464569,00/00/00,0:00:00,ALDERSON
WP,D,ALX,38.8062439,-77.06264496,00/00/00,0:00:00,ALEXANDRIA
WP,D,ALE,27.74541283,-98.08235168,00/00/00,0:00:00,ALICE
WP,D,ANW,40.59043121,-75.56719208,00/00/00,0:00:00,ALLENTOWN - WEST
WP,D,ALV,40.65233231,-75.44039154,00/00/00,0:00:00,ALLENTOWN AIRPORT
WP,D,ALC,40.92178726,-81.09580994,00/00/00,0:00:00,ALLIANCE
WP,D,ALP,30.35715866,-103.6610413,00/00/00,0:00:00,ALPINE
WP,D,ALN,38.90449142,-90.13494873,00/00/00,0:00:00,ALTON
WP,D,ALT,40.51478195,-78.40099335,00/00/00,0:00:00,ALTOONA
WP,D,AMM,42.37485886,-72.51192474,00/00/00,0:00:00,AMHERST
WP,D,AMS,42.953676,-74.219553,00/00/00,0:00:00,AMSTERDAM
WP,D,ANA,33.80426025,-117.884819,00/00/00,0:00:00,ANAHEIM
WP,D,ARB,42.28805161,-83.74402618,00/00/00,0:00:00,ANN ARBOR
WP,D,ATN,33.64899826,-85.83188629,00/00/00,0:00:00,ANNISTON
WP,D,ACA,38.01808548,-121.8151321,00/00/00,0:00:00,ANTIOCH-PITTSBURG
WP,D,APP,44.26594162,-88.40564728,00/00/00,0:00:00,APPLETON
WP,D,ARC,40.86757278,-124.0839386,00/00/00,0:00:00,ARCATA
WP,D,ADM,34.17191315,-97.12541199,00/00/00,0:00:00,ARDMORE
WP,D,ARD,40.00726318,-75.28944397,00/00/00,0:00:00,ARDMORE
WP,D,ARK,34.11437607,-93.05244446,00/00/00,0:00:00,ARKADELPHIA
WP,D,AKY,38.48093033,-82.63947296,00/00/00,0:00:00,ASHLAND
WP,D,AHL,42.18811798,-122.6970215,00/00/00,0:00:00,ASHLAND
WP,D,ASD,37.75923538,-77.48167419,00/00/00,0:00:00,ASHLAND
WP,D,ATA,35.48920822,-120.6657104,00/00/00,0:00:00,ATASCADERO
WP,D,ATL,33.79956436,-84.39178467,00/00/00,0:00:00,ATLANTA
WP,D,ACY,39.36300278,-74.43986511,00/00/00,0:00:00,ATLANTIC CITY
WP,D,ATR,31.02432823,-87.48733521,00/00/00,0:00:00,ATMORE
WP,D,ARN,38.90418243,-121.0820313,00/00/00,0:00:00,AUBURN
WP,D,AUS,30.26909256,-97.75556946,00/00/00,0:00:00,AUSTIN
WP,D,BBY,42.3473053,-71.07635498,00/00/00,0:00:00,BACK BAY
WP,D,BAK,44.7820549,-117.8113251,00/00/00,0:00:00,BAKER CITY
WP,D,BFD,35.37137985,-119.0224609,00/00/00,0:00:00,BAKERSFIELD
WP,D,BAL,39.30812073,-76.61747742,00/00/00,0:00:00,BALTIMORE
WP,D,BAM,42.3141861,-86.11186981,00/00/00,0:00:00,BANGOR
WP,D,BAR,34.90480042,-117.0253525,00/00/00,0:00:00,BARSTOW
WP,D,BRV,36.75063324,-95.93536377,00/00/00,0:00:00,BARTLESVILLE
WP,D,BTS,34.31602097,-89.95238495,00/00/00,0:00:00,BATESVILLE
WP,D,BTR,30.44965744,-91.1765976,00/00/00,0:00:00,BATON ROUGE
WP,D,BTL,42.31697464,-85.18569183,00/00/00,0:00:00,BATTLE CREEK
WP,D,BAY,30.88092041,-87.77303314,00/00/00,0:00:00,BAY MINETTE
WP,D,BAS,30.30690002,-89.33733368,00/00/00,0:00:00,BAY ST. LOUIS
WP,D,BEU,33.92804718,-116.9765091,00/00/00,0:00:00,BEAUMONT
WP,D,BMT,30.0769062,-94.12296295,00/00/00,0:00:00,BEAUMONT
WP,D,BLE,34.66424179,-106.7748718,00/00/00,0:00:00,BELEN
WP,D,BVL,38.5209198,-89.99146271,00/00/00,0:00:00,BELLEVILLE
WP,D,BEL,48.72048569,-122.5098877,00/00/00,0:00:00,BELLINGHAM
WP,D,BLF,43.13582611,-72.44544983,00/00/00,0:00:00,BELLOWS FALLS
WP,D,BET,42.49884033,-89.03549194,00/00/00,0:00:00,BELOIT
WP,D,BED,44.05533981,-121.273407,00/00/00,0:00:00,BEND
WP,D,BEN,31.96816826,-110.2939835,00/00/00,0:00:00,BENSON
WP,D,BKY,37.8676033,-122.2999954,00/00/00,0:00:00,BERKELEY
WP,D,BER,41.63552475,-72.76572418,00/00/00,0:00:00,BERLIN
WP,D,ATB,40.65238953,-75.41325378,00/00/00,0:00:00,BETHLEHEM
WP,D,BSB,40.61135483,-75.37786865,00/00/00,0:00:00,BETHLEHEM - SOUTH
WP,D,BGP,43.69831848,-85.48204803,00/00/00,0:00:00,BIG RAPIDS
WP,D,BGS,32.25257111,-101.4730148,00/00/00,0:00:00,BIG SPRING
WP,D,BIX,30.39912033,-88.8911438,00/00/00,0:00:00,BILOXI
WP,D,BNG,45.71538544,-121.4690933,00/00/00,0:00:00,BINGEN-WHITE SALMON
WP,D,BHM,33.51239395,-86.80702972,00/00/00,0:00:00,BIRMINGHAM
WP,D,BMM,42.54572296,-83.19529724,00/00/00,0:00:00,BIRMINGHAM
WP,D,BNL,40.50834656,-88.98403931,00/00/00,0:00:00,BLOOMINGTON-NORMAL
WP,D,BOI,43.61946869,-116.2061081,00/00/00,0:00:00,BOISE
WP,D,BRN,34.99978256,-117.6568069,00/00/00,0:00:00,BORON
WP,D,BCL,32.52555847,-93.68015289,00/00/00,0:00:00,BOSSIER CITY
WP,D,BOS,42.35152435,-71.05529785,00/00/00,0:00:00,BOSTON (SO. STA)
WP,D,BLD,40.05839539,-105.2811813,00/00/00,0:00:00,BOULDER
WP,D,BYC,45.20484161,-85.02664948,00/00/00,0:00:00,BOYNE CITY
WP,D,BYF,45.16839981,-84.91621399,00/00/00,0:00:00,BOYNE FALLS
WP,D,BDT,27.4903965,-82.47067261,00/00/00,0:00:00,BRADENTON
WP,D,BRT,43.6910553,-79.76232147,00/00/00,0:00:00,BRAMPTON
WP,D,BDN,43.79917526,-73.0892334,00/00/00,0:00:00,BRANDON
